46,15,5,0,0
41,13,4,0,0
305,13,2,1,0
0,9,6,0,0
106,15,8,0,0
81,11,10,0,0
23,19,6,0,0
2,17,7,0,0
1,17,11,0,0
55,19,10,0,0
202,11,6,0,0
3,19,10,1,0
30,15,2,0,0
13,18,10,0,0
5,20,9,0,0
121,20,5,0,1
214,16,11,0,0
4,12,9,0,0
342,12,5,0,1
50,16,10,0,0
12,20,8,0,0
6,20,4,0,1
170,18,11,0,0
10,20,10,0,1
7,16,4,0,0
83,18,9,0,1
139,18,5,0,0
332,16,8,0,1
8,14,10,0,0
27,10,8,0,0
278,6,2,0,1
312,10,4,0,1
313,14,6,0,1
9,12,6,0,0
54,14,7,0,0
169,10,5,0,0
242,6,3,0,0
286,10,9,0,1
11,8,11,0,1
14,5,10,0,0
227,17,6,1,0
15,14,2,0,1
302,6,6,0,1
16,17,6,0,0
26,9,10,0,0
17,12,10,1,1
18,6,10,0,1
19,12,10,0,0
37,14,11,0,0
56,10,9,0,0
207,6,3,0,1
320,14,7,0,1
321,10,5,0,1
20,13,10,0,0
43,17,8,0,0
92,9,4,0,0
53,13,6,0,0
63,15,7,0,0
21,19,9,0,0
22,18,6,0,0
187,16,7,0,0
64,17,2,0,0
40,19,3,0,0
324,16,4,0,1
235,18,5,0,1
25,16,8,0,0
33,20,10,0,0
57,18,9,0,0
249,7,4,0,0
28,11,2,0,0
48,17,3,0,0
29,19,2,0,0
42,12,7,0,0
336,6,2,0,0
254,10,8,0,1
168,14,6,0,0
31,10,4,0,0
333,18,11,0,1
272,16,10,0,1
196,20,8,0,1
32,20,4,0,0
289,14,9,0,1
131,10,7,0,0
34,14,5,0,0
279,18,5,1,0
35,16,4,1,0
277,16,5,1,0
36,18,4,1,0
38,20,7,0,0
231,5,6,0,0
47,17,10,1,0
39,15,5,1,0
201,6,7,0,0
44,14,3,0,0
45,13,7,0,0
229,11,8,0,0
49,15,10,0,0
270,18,4,0,1
262,16,5,0,1
130,18,8,0,0
98,16,9,0,0
51,20,11,0,0
74,17,7,1,0
