-19.2,196,8,0,0.8,
-44.642,173.6,4.8,5.83407,-0.6859,
91.8919,4,-3.2,-1.52,-0.76,
-0.8,-0.8,11.2,0,-0.76,
-6.44,1.6,16,-6.40596,0.76,
-3.922,2.4,4.8,125.6,-0.6859,
0.16,54.4,0,0,0,
-1.4859,0,24,-3.9313,0,
0.113264,-2.4,-1.6,-1.83272,0,
-4.57074,-4.8,-4.8,-5.63901,0,
-6.086,-5.6,-1.6,-10.4837,0,
-23.042,570.4,27.2,-12.1984,0,
-51.68,-49.6,-51.2,-53.5372,0,
-4.69161,-1.6,-3.2,-9.17055,-0.619025,
-10.72,-3.2,56,-19.188,-0.6859,
-1.88,116,-4.44089e-16,0,-0.76,
-24.12,4.8,110.4,-1.2608,0,
-141.202,-136,-137.6,-146.056,0,
-17.4979,76,-11.2,-8.08001,0,
-0.76,0.8,9.6,0,-0.722,
-5.6,-4.8,-4.8,13.2985,0,
-16.2,-8.8,12.8,-12.7988,0,
-33.3832,45.6,-9.6,-19.7761,0,
-32,219.2,4.8,-15.5001,0.8,
-0.432288,25.6,6.4,0,0,
88.3393,2.4,-3.2,-10.7618,0,
-16.9719,-2.4,283.2,-28.2278,0,
-4,-3.2,19.2,-3.43853,0,
-180.24,-178.4,-180.8,-176.899,0,
-4.51766,-4,28.8,-5.11601,0,
-93.6,-56,-40,-54.5286,0,
4.3718,4,3.2,0,0,
-39.84,-40.8,-36.8,-41.687,0,
-6.038,-8.8,-9.6,-12.1984,0,
-6.76084,-18.4,-14.4,-16.3019,0,
33.9993,-1.6,-1.6,-4.93681,0,
-23.24,-14.4,32,-21.5595,0,
-11.558,-11.2,-1.6,-20.0469,0,
-604.986,-605.6,-600,-613.115,0,
-10.5923,7.2,3.2,3.68026,0,
-7.32,-3.2,20.8,-4.0266,0,
-6.44,-2.4,4.8,-9.75101,0,
-16.8713,-16,-14.4,-19.0557,0,
-8.64,-4.8,1.6,-12.1984,0,
-191.707,-189.6,-185.6,-189.295,0,
-9.56,-1.11022e-15,38.4,-20.0469,0,
1.72,130.4,-19.2,0,0,
